Date,Open,High,Low,Close,Adj_Close,Volume
2021-12-01,335.130005,344.299988,317.250000,336.320007,333.197937,625674800
2022-01-01,335.350006,338.000000,276.049988,310.980011,308.093140,947531400
2022-02-01,310.410004,315.119995,271.519989,298.790009,296.016266,697050600
2022-03-01,296.399994,315.950012,270.000000,308.309998,306.079468,734334200
2022-04-01,309.369995,315.109985,270.000000,277.519989,275.512238,627343400
2022-05-01,277.709991,290.880005,246.440002,271.869995,269.903107,742902000
2022-06-01,275.200012,277.690002,241.509995,256.829987,255.565750,621372300
2022-07-01,256.390015,282.000000,245.940002,280.739990,279.358093,534891800
2022-08-01,277.820007,294.179993,260.660004,261.470001,260.182922,477157600
2022-09-01,258.869995,267.450012,232.729996,232.899994,232.245483,575586600
2022-10-01,235.410004,251.039993,219.130005,232.130005,231.477661,671225100
2022-11-01,234.600006,255.330002,213.429993,255.139999,254.422989,615255600
